date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:59	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Dec%202023%2014:18:58%20GMT	https://web.archive.org/robots.txt		(from )
15:19:00	4694/4694	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Dec%202023%2014:18:59%20GMT	https://web.archive.org/web/20231111071724/http://tickermilk.xyz/	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724/http_/tickermilk.xyz/index.html	(from )
15:19:01	31445/31445	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202023%2019:40:05%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=t1Bf4PY_	C:/My%20Web%20Sites/MILK%20COPY/web-static.archive.org/_static/js/bundle-playback8833.js	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:02	126763/126763	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202023%2019:37:59%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/MILK%20COPY/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:02	9867/9867	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2019:37:56%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/My%20Web%20Sites/MILK%20COPY/web-static.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:02	5825/5825	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2019:40:25%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/My%20Web%20Sites/MILK%20COPY/web-static.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:02	363298/363298	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202023%2019:38:59%20GMT	https://web-static.archive.org/_static/js/ruffle.js	C:/My%20Web%20Sites/MILK%20COPY/web-static.archive.org/_static/js/ruffle.js	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:02%20GMT	https://web.archive.org/web/20231111071724im_/http://tickermilk.xyz/assets/images/favicon.png	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724im_/http_/tickermilk.xyz/assets/images/favicon.png	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:03	11272/11272	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Dec%202023%2014:19:02%20GMT	https://web.archive.org/web/20231111072541im_/https://tickermilk.xyz/assets/images/favicon.png	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111072541im_/https_/tickermilk.xyz/assets/images/favicon.png	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:03%20GMT	https://web.archive.org/web/20231111071724im_/http://tickermilk.xyz/assets/images/apple-touch-icon.png	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724im_/http_/tickermilk.xyz/assets/images/apple-touch-icon.png	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
